Brand,Model,Kilometers,Year,Fuel Type,Transmission Type,Engine Capacity (CC),Body Type,Price_EGP,Condition,Trim,Location,Origin,Horsepower,Color,Source,Source_URL,Source_ID,Collected_At
Kia,Sportage,100000,2018,Benzine,Automatic,1600,SUV,"EGP 1,140,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-54,
Renault,Duster,166000,2020,Benzine,Automatic,1600,Hatchback,"EGP 650,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-55,
Renault,11,69000,2011,Benzine,Manual,1600,Sedan,"EGP 250,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-56,
Mitsubishi,Lancer,180000,2017,Benzine,Manual,2000,Sedan,"EGP 830,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-57,
Fiat,128,500000,1975,Benzine,Manual,,,"EGP 26,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-58,
Nissan,Sunny,350000,2009,Natural Gas,Automatic,1600,Sedan,"EGP 400,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-59,
Kia,Rio,250000,2004,Benzine,Manual,1300,Sedan,"EGP 175,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-60,
Opel,Corsa,147000,2022,Benzine,Automatic,1300,Sedan,"EGP 720,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-61,
BYD,F0,970000,2010,Benzine,Manual,1000,Hatchback,"EGP 220,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-62,
Mitsubishi,Mirage,310222,1998,Benzine,Automatic,1600,Sedan,"EGP 310,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-63,
BYD,F3,120000,2022,Benzine,Manual,1600,Other,"EGP 475,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-64,
Chevrolet,N300,119,2015,Benzine,Manual,,MPV,"EGP 3,300,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-65,
Ford,Mondeo,260000,2008,Benzine,Manual,1600,Sedan,"EGP 530,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-66,
Kia,Carnival,13000,2025,Hybrid,Automatic,1600,SUV,"EGP 2,450,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-67,
BMW,118,142000,2019,Benzine,Automatic,1500,Hatchback,"EGP 1,100,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-68,
Fiat,500X,15000,2021,Benzine,Automatic,1400,Hatchback,"EGP 930,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-69,
Mitsubishi,Atrage,175000,2014,Benzine,Automatic,1100,Sedan,"EGP 380,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-70,
Mercedes-Benz,C200,35000,2022,Hybrid,Automatic,1500,Sedan,"EGP 2,550,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-71,
Opel,Insignia,287000,2014,Benzine,Automatic,1600,Sedan,"EGP 550,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-72,
Hyundai,Verna,70000,2008,Benzine,Manual,,,"EGP 290,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-73,
Renault,Logan,57000,2017,Benzine,Manual,,Sedan,"EGP 450,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-74,
Peugeot,5008,88000,2022,Benzine,Automatic,,SUV,"EGP 1,450,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-75,
Mercedes-Benz,GLC 200,50000,2023,Benzine,Automatic,1500,SUV,"EGP 3,625,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-76,
Volkswagen,Passat,180000,2018,Benzine,Automatic,1400,Sedan,"EGP 1,100,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-77,
Cadillac,Escalade,145000,2007,Benzine,Automatic,,SUV,"EGP 3,000,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-78,
Chevrolet,Aveo,208000,2017,Benzine,Automatic,1500,Sedan,"EGP 445,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-79,
Toyota,Yaris,152000,2008,Benzine,Automatic,1300,Sedan,"EGP 420,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-80,
Renault,Sandero Stepway,185000,2016,Benzine,Automatic,1600,SUV,"EGP 415,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-81,
Chevrolet,Optra,14600,2006,Benzine,Automatic,1600,Sedan,"EGP 350,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-82,
Peugeot,3008,150000,2020,Benzine,Automatic,,SUV,"EGP 1,050,000",used,,,,,,Kaggle - Egyptian Used Car Price Dataset,https://www.kaggle.com/datasets/alyahmedts13/egyptian-used-car-price-dataset/data,kaggle-used-83,
